payment_id,order_id,payment_method,payment_status,payment_date
331,331,UPI,Completed,2025-04-22
332,332,Net Banking,Completed,2024-08-26
333,333,UPI,Completed,2025-09-22
334,334,UPI,Completed,2024-08-25
335,335,Net Banking,Completed,2026-06-23
336,336,Debit Card,Completed,2026-05-19
337,337,Wallet,Completed,2026-01-26
338,338,Net Banking,Completed,2026-05-02
339,339,Wallet,Completed,2025-02-11
340,340,Credit Card,Completed,2025-01-26
341,341,Debit Card,Completed,2025-11-18
342,342,Credit Card,Completed,2025-01-28
343,343,Debit Card,Completed,2025-05-24
344,344,Debit Card,Completed,2026-02-21
345,345,Net Banking,Completed,2025-10-06
346,346,Net Banking,Completed,2026-02-17
347,347,Net Banking,Completed,2025-10-11
348,348,Net Banking,Completed,2024-11-14
349,349,Wallet,Pending,2025-10-23
350,350,Wallet,Pending,2025-01-07
351,351,Wallet,Completed,2026-03-13
352,352,Net Banking,Completed,2025-11-23
353,353,Credit Card,Completed,2026-06-03
354,354,UPI,Failed,2025-10-12
355,355,UPI,Pending,2025-12-03
356,356,Credit Card,Completed,2026-02-28
357,357,UPI,Completed,2026-02-21
358,358,Credit Card,Completed,2026-02-27
359,359,Credit Card,Completed,2024-12-11
360,360,Net Banking,Completed,2026-01-31
361,361,Credit Card,Completed,2024-12-07
362,362,UPI,Completed,2024-10-11
363,363,Wallet,Completed,2025-08-16
364,364,Wallet,Completed,2026-06-19
365,365,UPI,Completed,2026-04-05
366,366,Wallet,Completed,2024-12-08
367,367,Net Banking,Completed,2025-04-26
368,368,Credit Card,Completed,2026-02-05
369,369,Net Banking,Completed,2025-03-08
370,370,Wallet,Completed,2025-02-13
371,371,Debit Card,Completed,2024-11-11
372,372,Debit Card,Completed,2025-08-27
373,373,UPI,Completed,2025-04-12
374,374,UPI,Completed,2024-12-03
375,375,Net Banking,Pending,2024-07-24
376,376,Debit Card,Completed,2026-05-16
377,377,Debit Card,Completed,2025-06-10
378,378,Wallet,Completed,2024-12-23
379,379,UPI,Pending,2025-09-07
380,380,UPI,Pending,2024-10-09
381,381,UPI,Completed,2026-03-02
382,382,UPI,Completed,2026-03-25
383,383,Wallet,Completed,2025-06-09
384,384,UPI,Completed,2026-03-26
385,385,Credit Card,Completed,2026-04-17
386,386,Net Banking,Completed,2025-11-20
387,387,UPI,Completed,2025-01-16
388,388,Net Banking,Completed,2026-02-10
389,389,UPI,Completed,2025-09-23
390,390,UPI,Pending,2025-04-07
391,391,Net Banking,Completed,2025-08-31
392,392,Net Banking,Completed,2025-03-21
393,393,Credit Card,Completed,2025-03-19
394,394,Net Banking,Completed,2025-01-27
395,395,Net Banking,Failed,2024-12-21
396,396,UPI,Pending,2025-03-14
397,397,Wallet,Completed,2025-11-23
398,398,Debit Card,Completed,2025-02-05
399,399,Debit Card,Completed,2024-08-08
400,400,Debit Card,Completed,2025-05-26
401,401,Wallet,Completed,2025-11-20
402,402,Debit Card,Completed,2025-01-29
403,403,Credit Card,Completed,2025-06-20
404,404,UPI,Completed,2025-03-13
405,405,Net Banking,Completed,2024-11-23
406,406,Debit Card,Completed,2024-12-07
407,407,Debit Card,Completed,2024-10-19
408,408,Debit Card,Completed,2026-01-13
409,409,Wallet,Completed,2025-07-14
410,410,Net Banking,Completed,2025-11-30
411,411,Wallet,Completed,2025-01-13
412,412,UPI,Pending,2025-12-02
413,413,Wallet,Completed,2025-04-14
414,414,Wallet,Completed,2025-12-22
415,415,Net Banking,Completed,2025-05-02
416,416,UPI,Completed,2024-12-24
417,417,Debit Card,Completed,2026-05-16
418,418,Net Banking,Completed,2025-04-25
419,419,Debit Card,Completed,2024-07-15
420,420,Credit Card,Completed,2024-08-08
421,421,Wallet,Completed,2024-07-28
422,422,Wallet,Completed,2024-09-09
423,423,Debit Card,Completed,2024-11-29
424,424,Debit Card,Completed,2025-04-23
425,425,Wallet,Completed,2025-07-08
426,426,Debit Card,Completed,2026-01-15
427,427,Credit Card,Completed,2024-07-21
428,428,Credit Card,Completed,2025-06-18
429,429,UPI,Completed,2025-05-12
430,430,Credit Card,Completed,2025-05-29
431,431,Credit Card,Completed,2025-01-18
432,432,Wallet,Completed,2024-10-07
433,433,Debit Card,Completed,2026-04-07
434,434,UPI,Completed,2025-02-03
435,435,Net Banking,Completed,2025-10-26
436,436,Wallet,Completed,2024-09-13
437,437,UPI,Completed,2026-06-13
438,438,UPI,Completed,2024-08-10
439,439,Wallet,Pending,2025-04-06
440,440,Wallet,Completed,2025-08-01
441,441,Net Banking,Completed,2024-09-18
442,442,Wallet,Completed,2025-05-04
443,443,Credit Card,Completed,2026-03-27
444,444,Credit Card,Completed,2025-05-14
445,445,Wallet,Completed,2026-06-14
446,446,Credit Card,Completed,2024-09-06
447,447,UPI,Completed,2025-02-12
448,448,Wallet,Pending,2026-05-17
449,449,Net Banking,Completed,2026-01-11
450,450,Debit Card,Completed,2025-09-08
451,451,Debit Card,Pending,2025-12-20
452,452,Net Banking,Completed,2025-05-31
453,453,UPI,Completed,2025-11-09
454,454,Net Banking,Completed,2025-10-06
455,455,Wallet,Completed,2025-06-07
456,456,Debit Card,Completed,2026-01-27
457,457,Wallet,Completed,2025-06-23
458,458,Net Banking,Completed,2024-09-29
459,459,Wallet,Failed,2025-10-12
460,460,Credit Card,Completed,2024-11-20
461,461,Net Banking,Completed,2024-07-16
462,462,Wallet,Completed,2025-01-26
463,463,Wallet,Completed,2024-09-14
464,464,Credit Card,Completed,2025-07-13
465,465,Wallet,Completed,2025-10-09
466,466,Credit Card,Completed,2025-01-01
467,467,UPI,Completed,2026-02-17
468,468,Net Banking,Completed,2026-06-22
469,469,UPI,Completed,2025-10-11
470,470,Net Banking,Completed,2026-05-07
471,471,UPI,Completed,2024-11-17
472,472,Credit Card,Pending,2025-12-13
473,473,Debit Card,Completed,2024-12-07
474,474,Wallet,Completed,2025-02-07
475,475,Wallet,Completed,2025-08-03
476,476,Debit Card,Completed,2025-09-13
477,477,Net Banking,Completed,2025-08-14
478,478,UPI,Completed,2026-06-22
479,479,UPI,Completed,2025-10-19
480,480,Credit Card,Completed,2024-11-14
481,481,UPI,Completed,2025-04-17
482,482,Debit Card,Completed,2025-04-30
483,483,UPI,Completed,2026-04-03
484,484,Credit Card,Completed,2025-07-22
485,485,Wallet,Completed,2024-07-03
486,486,Net Banking,Completed,2026-05-27
487,487,Credit Card,Completed,2026-02-05
488,488,UPI,Completed,2025-05-15
489,489,Credit Card,Pending,2025-04-26
490,490,Credit Card,Completed,2025-04-22
491,491,Net Banking,Completed,2026-02-26
492,492,Net Banking,Completed,2024-07-22
493,493,Credit Card,Completed,2026-05-27
494,494,Debit Card,Completed,2026-02-27
495,495,UPI,Failed,2025-11-06
496,496,UPI,Completed,2025-09-10
497,497,UPI,Completed,2024-12-30
498,498,Wallet,Completed,2026-02-26
499,499,Wallet,Completed,2024-11-24
500,500,Net Banking,Completed,2025-02-25
501,501,Credit Card,Completed,2026-05-29
502,502,Debit Card,Completed,2026-06-29
503,503,UPI,Completed,2026-04-29
504,504,Net Banking,Completed,2026-02-01
505,505,UPI,Completed,2024-10-02
506,506,Debit Card,Completed,2024-07-31
507,507,Net Banking,Completed,2026-01-08
508,508,Wallet,Completed,2026-06-23
509,509,Wallet,Completed,2024-10-17
510,510,Wallet,Completed,2026-03-06
511,511,Net Banking,Completed,2026-04-16
512,512,Wallet,Completed,2026-01-30
513,513,Debit Card,Completed,2025-09-19
514,514,Credit Card,Completed,2024-09-24
515,515,UPI,Completed,2025-02-05
516,516,Wallet,Pending,2025-08-03
517,517,Credit Card,Completed,2025-02-24
518,518,Wallet,Completed,2025-09-09
519,519,Debit Card,Completed,2024-07-02
520,520,UPI,Completed,2024-12-24
521,521,Net Banking,Pending,2025-10-06
522,522,Credit Card,Completed,2025-11-14
523,523,Net Banking,Completed,2025-10-04
524,524,Debit Card,Completed,2024-09-01
525,525,Wallet,Completed,2025-07-29
526,526,Net Banking,Completed,2026-01-25
527,527,Wallet,Completed,2025-10-26
528,528,Wallet,Completed,2026-01-16
529,529,Wallet,Completed,2024-09-11
530,530,Debit Card,Completed,2025-12-21
531,531,Debit Card,Completed,2025-10-27
532,532,Debit Card,Completed,2026-04-22
533,533,Wallet,Pending,2024-11-04
534,534,Net Banking,Failed,2026-06-20
535,535,UPI,Completed,2026-03-23
536,536,UPI,Completed,2025-09-18
537,537,Debit Card,Completed,2026-03-24
538,538,Debit Card,Completed,2026-01-11
539,539,Credit Card,Completed,2026-04-25
540,540,Net Banking,Completed,2024-07-10
541,541,Wallet,Completed,2026-06-08
542,542,Wallet,Pending,2026-01-17
543,543,UPI,Completed,2024-11-02
544,544,UPI,Completed,2024-11-02
545,545,UPI,Pending,2024-08-16
546,546,Credit Card,Completed,2026-03-30
547,547,UPI,Completed,2025-03-31
548,548,UPI,Pending,2025-07-31
549,549,UPI,Completed,2026-02-04
550,550,Net Banking,Completed,2025-02-02
551,551,Wallet,Completed,2024-07-03
552,552,Credit Card,Completed,2024-08-31
553,553,Wallet,Completed,2026-05-18
554,554,Credit Card,Completed,2024-11-03
555,555,UPI,Completed,2024-08-04
556,556,Credit Card,Completed,2024-07-07
557,557,Credit Card,Completed,2025-12-05
558,558,Credit Card,Completed,2025-05-02
559,559,Net Banking,Completed,2025-02-04
560,560,Net Banking,Completed,2026-03-12
561,561,Net Banking,Completed,2025-07-16
562,562,Net Banking,Completed,2024-11-22
563,563,Net Banking,Completed,2025-05-21
564,564,Credit Card,Completed,2024-07-01
565,565,Credit Card,Completed,2026-02-03
566,566,Net Banking,Completed,2024-11-28
567,567,Wallet,Pending,2026-04-20
568,568,Wallet,Pending,2026-03-10
569,569,UPI,Completed,2025-01-07
570,570,Wallet,Completed,2025-03-08
571,571,Net Banking,Completed,2025-03-07
572,572,Credit Card,Completed,2025-12-18
573,573,Net Banking,Completed,2026-03-05
574,574,Net Banking,Completed,2024-08-19
575,575,Debit Card,Completed,2026-01-20
576,576,Credit Card,Completed,2024-08-07
577,577,Wallet,Completed,2024-07-24
578,578,Credit Card,Completed,2024-09-18
579,579,Debit Card,Completed,2026-02-11
580,580,Debit Card,Pending,2025-08-28
581,581,Debit Card,Completed,2026-05-22
582,582,Debit Card,Pending,2024-12-16
583,583,Debit Card,Failed,2025-02-02
584,584,UPI,Completed,2025-07-05
585,585,Debit Card,Completed,2024-12-09
586,586,Wallet,Completed,2024-10-18
587,587,Net Banking,Pending,2026-03-29
588,588,Debit Card,Completed,2025-04-28
589,589,Wallet,Completed,2024-12-02
590,590,Wallet,Completed,2026-03-27
591,591,UPI,Completed,2025-10-31
592,592,UPI,Completed,2025-10-13
593,593,UPI,Completed,2026-03-31
594,594,Wallet,Completed,2025-05-08
595,595,UPI,Completed,2026-04-01
596,596,Wallet,Completed,2024-08-15
597,597,Wallet,Completed,2025-10-07
598,598,Net Banking,Completed,2026-06-19
599,599,Credit Card,Completed,2024-09-25
600,600,Wallet,Completed,2025-05-13
601,601,UPI,Completed,2024-06-30
602,602,Net Banking,Completed,2024-09-07
603,603,Net Banking,Completed,2025-12-19
604,604,UPI,Completed,2024-11-08
605,605,Wallet,Completed,2026-04-28
606,606,Credit Card,Completed,2026-04-21
607,607,Debit Card,Completed,2025-12-06
608,608,Net Banking,Completed,2025-11-14
609,609,Debit Card,Completed,2026-06-25
610,610,UPI,Completed,2025-02-22
611,611,Net Banking,Completed,2024-09-03
612,612,UPI,Completed,2025-02-01
613,613,Net Banking,Completed,2026-01-30
614,614,Debit Card,Completed,2025-07-14
615,615,Net Banking,Completed,2025-04-08
616,616,UPI,Completed,2025-03-30
617,617,Debit Card,Completed,2026-05-04
618,618,UPI,Completed,2025-05-13
619,619,Net Banking,Completed,2026-04-03
620,620,UPI,Completed,2025-04-25
621,621,Debit Card,Completed,2025-06-19
622,622,UPI,Completed,2025-05-27
623,623,UPI,Completed,2025-08-24
624,624,Net Banking,Completed,2026-05-20
625,625,Credit Card,Completed,2024-08-05
626,626,Credit Card,Completed,2024-09-11
627,627,Credit Card,Completed,2025-10-30
628,628,Net Banking,Completed,2024-12-04
629,629,Debit Card,Pending,2025-07-07
630,630,Credit Card,Pending,2024-11-15
631,631,Debit Card,Completed,2025-06-04
632,632,Wallet,Completed,2025-07-08
633,633,UPI,Completed,2025-05-01
634,634,UPI,Completed,2025-04-12
635,635,Debit Card,Completed,2025-08-11
636,636,Net Banking,Completed,2025-10-02
637,637,Net Banking,Completed,2024-09-18
638,638,Net Banking,Completed,2026-05-22
639,639,Net Banking,Completed,2025-06-20
640,640,Debit Card,Completed,2025-05-01
641,641,Credit Card,Completed,2024-08-18
642,642,Credit Card,Completed,2026-03-20
643,643,Credit Card,Pending,2025-10-16
644,644,Debit Card,Completed,2025-12-01
645,645,Credit Card,Completed,2025-08-22
646,646,Debit Card,Completed,2025-05-06
647,647,Wallet,Completed,2026-06-24
648,648,Wallet,Completed,2025-07-21
649,649,Debit Card,Completed,2025-04-06
650,650,UPI,Completed,2026-01-16
651,651,Net Banking,Completed,2026-05-24
652,652,Debit Card,Pending,2024-08-25
653,653,UPI,Completed,2025-06-23
654,654,Wallet,Completed,2025-08-07
655,655,Wallet,Completed,2024-09-07
656,656,Net Banking,Completed,2026-02-18
657,657,Net Banking,Completed,2025-12-28
658,658,Credit Card,Completed,2025-07-02
659,659,UPI,Completed,2025-07-24
660,660,Net Banking,Completed,2025-08-29
661,661,Credit Card,Completed,2026-05-28
662,662,UPI,Completed,2025-11-25
663,663,Debit Card,Pending,2025-10-01
664,664,UPI,Completed,2025-01-06
665,665,Wallet,Completed,2025-11-18
666,666,Credit Card,Completed,2026-04-12
667,667,Debit Card,Completed,2026-01-22
668,668,Wallet,Completed,2025-08-03
669,669,Debit Card,Completed,2025-04-15
670,670,Wallet,Completed,2025-03-08
671,671,Wallet,Completed,2026-02-14
672,672,UPI,Completed,2024-08-17
673,673,UPI,Completed,2024-10-23
674,674,Wallet,Completed,2026-05-05
675,675,Credit Card,Completed,2026-04-12
676,676,Net Banking,Completed,2024-07-25
677,677,Debit Card,Failed,2026-05-10
678,678,UPI,Completed,2025-09-21
679,679,Wallet,Completed,2025-01-11
680,680,Credit Card,Completed,2026-04-18
681,681,Debit Card,Completed,2025-07-04
682,682,Debit Card,Completed,2026-03-04
683,683,Credit Card,Completed,2025-12-25
684,684,Wallet,Completed,2025-05-26
685,685,Wallet,Completed,2025-12-11
